event_id,sport_key,commence_time,home_team,away_team,bookmaker,bookmaker_title,home_odds,draw_odds,away_odds,home_link,draw_link,away_link,combined_product
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,betsson,Betsson,2.65,3.05,2.85,https://www.betsson.com/en/sportsbook/football/england/england-premier-league?tab=liveAndUpcoming&eventId=f-wR9YfsnsPECSJ4tnDx5k8Q&eti=0&fs=true,https://www.betsson.com/en/sportsbook/football/england/england-premier-league?tab=liveAndUpcoming&eventId=f-wR9YfsnsPECSJ4tnDx5k8Q&eti=0&fs=true,https://www.betsson.com/en/sportsbook/football/england/england-premier-league?tab=liveAndUpcoming&eventId=f-wR9YfsnsPECSJ4tnDx5k8Q&eti=0&fs=true,23.035125
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,nordicbet,Nordic Bet,2.65,3.05,2.85,https://www.nordicbet.com/en/sportsbook/football/england/england-premier-league/everton-crystal-palace,https://www.nordicbet.com/en/sportsbook/football/england/england-premier-league/everton-crystal-palace,https://www.nordicbet.com/en/sportsbook/football/england/england-premier-league/everton-crystal-palace,23.035125
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,tipico_de,Tipico,2.65,3.0,2.85,,,,22.6575
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,williamhill,William Hill,2.6,3.1,2.8,https://sports.williamhill.com/betting/en-gb/football/OB_EV37086022/everton-vs-crystal-palace,https://sports.williamhill.com/betting/en-gb/football/OB_EV37086022/everton-vs-crystal-palace,https://sports.williamhill.com/betting/en-gb/football/OB_EV37086022/everton-vs-crystal-palace,22.568
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,sport888,888sport,2.6,3.1,2.8,https://www.888sport.com/football/england/english-premier-league/everton-vs-crystal-palace-e-6411775/,https://www.888sport.com/football/england/english-premier-league/everton-vs-crystal-palace-e-6411775/,https://www.888sport.com/football/england/english-premier-league/everton-vs-crystal-palace-e-6411775/,22.568
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,pinnacle,Pinnacle,2.9,2.84,2.73,https://www.pinnacle.com/en/soccer/austria-bundesliga/sturm-graz-vs-scr-altach/1617005359/,https://www.pinnacle.com/en/soccer/austria-bundesliga/sturm-graz-vs-scr-altach/1617005359/,https://www.pinnacle.com/en/soccer/austria-bundesliga/sturm-graz-vs-scr-altach/1617005359/,22.48428
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,unibet_nl,Unibet (NL),3.0,2.88,2.6,,,,22.464000000000002
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,unibet_se,Unibet (SE),3.0,2.88,2.6,https://www.unibet.se/betting/sports/event/1024139025,https://www.unibet.se/betting/sports/event/1024139025,https://www.unibet.se/betting/sports/event/1024139025,22.464000000000002
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,unibet_it,Unibet (IT),3.0,2.9,2.55,,,,22.184999999999995
9c2eb7c53fbd864220cd1181ba14fe4d,soccer_italy_serie_a,2025-10-05T13:00:00Z,Fiorentina,AS Roma,sport888,888sport,2.9,3.1,2.45,https://www.888sport.com/football/italy/italian-serie-a/fiorentina-vs-roma-e-6449495/,https://www.888sport.com/football/italy/italian-serie-a/fiorentina-vs-roma-e-6449495/,https://www.888sport.com/football/italy/italian-serie-a/fiorentina-vs-roma-e-6449495/,22.0255
9c2eb7c53fbd864220cd1181ba14fe4d,soccer_italy_serie_a,2025-10-05T13:00:00Z,Fiorentina,AS Roma,williamhill,William Hill,2.9,3.1,2.45,https://sports.williamhill.com/betting/en-gb/football/OB_EV37166638/fiorentina-vs-roma,https://sports.williamhill.com/betting/en-gb/football/OB_EV37166638/fiorentina-vs-roma,https://sports.williamhill.com/betting/en-gb/football/OB_EV37166638/fiorentina-vs-roma,22.0255
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,coolbet,Coolbet,2.88,2.75,2.75,https://www.coolbet.com/en/sports/match/4453966,https://www.coolbet.com/en/sports/match/4453966,https://www.coolbet.com/en/sports/match/4453966,21.78
c625878da7e09846e8c9e30d83f65f36,soccer_italy_serie_b,2025-10-05T13:00:00Z,Carrarese,Juve Stabia,betonlineag,BetOnline.ag,2.47,2.91,3.0,https://sports.betonline.ag/sportsbook/soccer/italy/game/490836346,https://sports.betonline.ag/sportsbook/soccer/italy/game/490836346,https://sports.betonline.ag/sportsbook/soccer/italy/game/490836346,21.563100000000006
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,tipico_de,Tipico,3.0,2.7,2.6,,,,21.060000000000006
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,winamax_fr,Winamax (FR),2.55,3.1,2.65,https://www.winamax.fr/en/sports-betting/match/61300637,https://www.winamax.fr/en/sports-betting/match/61300637,https://www.winamax.fr/en/sports-betting/match/61300637,20.948249999999998
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,betclic_fr,Betclic (FR),2.43,3.08,2.75,https://www.betclic.fr/football-sfootball/angl-premier-league-c3/everton-crystal-palace-m814784975048704,https://www.betclic.fr/football-sfootball/angl-premier-league-c3/everton-crystal-palace-m814784975048704,https://www.betclic.fr/football-sfootball/angl-premier-league-c3/everton-crystal-palace-m814784975048704,20.582100000000004
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,unibet_fr,Unibet (FR),2.46,3.05,2.72,https://www.unibet.fr/sport/football/event/everton-crystal-palace-3291303_1.html,https://www.unibet.fr/sport/football/event/everton-crystal-palace-3291303_1.html,https://www.unibet.fr/sport/football/event/everton-crystal-palace-3291303_1.html,20.40816
1a7d9a230fc5e77b5fbf420993a8eb93,soccer_epl,2025-10-05T13:00:00Z,Everton,Crystal Palace,parionssport_fr,Parions Sport (FR),2.55,2.95,2.7,https://www.enligne.parionssport.fdj.fr/paris-football/angleterre/premier-league/3262466/everton-vs-crystal-palace,https://www.enligne.parionssport.fdj.fr/paris-football/angleterre/premier-league/3262466/everton-vs-crystal-palace,https://www.enligne.parionssport.fdj.fr/paris-football/angleterre/premier-league/3262466/everton-vs-crystal-palace,20.310750000000002
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,leovegas_se,LeoVegas (SE),2.9,2.8,2.5,https://www.leovegas.com/sv-se/betting#event/1024139025,https://www.leovegas.com/sv-se/betting#event/1024139025,https://www.leovegas.com/sv-se/betting#event/1024139025,20.299999999999997
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,winamax_de,Winamax (DE),2.8,2.65,2.6,https://www.winamax.de/en/sports-betting/match/61518644,https://www.winamax.de/en/sports-betting/match/61518644,https://www.winamax.de/en/sports-betting/match/61518644,19.291999999999998
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,betsson,Betsson,2.75,2.68,2.6,https://www.betsson.com/en/sportsbook/football/austria/austria-bundesliga?tab=liveAndUpcoming&eventId=f-9xxHnXgS5kGxa8dFh1mJWg&eti=0&fs=true,https://www.betsson.com/en/sportsbook/football/austria/austria-bundesliga?tab=liveAndUpcoming&eventId=f-9xxHnXgS5kGxa8dFh1mJWg&eti=0&fs=true,https://www.betsson.com/en/sportsbook/football/austria/austria-bundesliga?tab=liveAndUpcoming&eventId=f-9xxHnXgS5kGxa8dFh1mJWg&eti=0&fs=true,19.162000000000003
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,nordicbet,Nordic Bet,2.75,2.68,2.6,https://www.nordicbet.com/en/sportsbook/football/austria/austria-bundesliga/altach-sk-sturm-graz,https://www.nordicbet.com/en/sportsbook/football/austria/austria-bundesliga/altach-sk-sturm-graz,https://www.nordicbet.com/en/sportsbook/football/austria/austria-bundesliga/altach-sk-sturm-graz,19.162000000000003
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,winamax_fr,Winamax (FR),2.65,2.55,2.5,https://www.winamax.fr/en/sports-betting/match/61518644,https://www.winamax.fr/en/sports-betting/match/61518644,https://www.winamax.fr/en/sports-betting/match/61518644,16.893749999999997
6da729437080e553fb91c8eb73ad3ae8,soccer_austria_bundesliga,2025-10-05T12:31:00Z,Rheindorf Altach,Sturm Graz,betclic_fr,Betclic (FR),2.65,2.52,2.47,https://www.betclic.fr/football-sfootball/autriche-bundesliga-c35/scr-altach-sturm-graz-m823196416880640,https://www.betclic.fr/football-sfootball/autriche-bundesliga-c35/scr-altach-sturm-graz-m823196416880640,https://www.betclic.fr/football-sfootball/autriche-bundesliga-c35/scr-altach-sturm-graz-m823196416880640,16.49466
